name,domain,search_url,optout_url,country,method,requirements,notes,search_pattern,result_selector,detail_selector
Contentgine Inc.,contentgine.com,https://www.contentgine.com/search?q={query},https://contentgine.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
CONVERGE DIRECT LLC,homeservicescompliance.com,https://www.homeservicescompliance.com/search?q={query},https://www.homeservicescompliance.com/#privacy_policy,US,form,"name, email",Data broker registered in US state registries,,,
CONVEX LABS LLC,convex.com,https://www.convex.com/search?q={query},https://www.convex.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Costar Group,costar.com,https://www.costar.com/search?q={query},https://www.costar.com/about/privacy-notice,US,form,"name, email",Data broker registered in US state registries,,,
CRAWLBEE,crawlbee.io,https://www.crawlbee.io/search?q={query},https://www.crawlbee.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
CRISIL Irevna US LLC,greenwich.com,https://www.greenwich.com/search?q={query},https://www.crisil.com/en/home/crisil-privacy-notice.html,US,form,"name, email",Data broker registered in US state registries,,,
"Cross Pixel Media, Inc.",crosspixel.net,https://www.crosspixel.net/search?q={query},https://www.crosspixel.net/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Crosswalk Technologies Inc,crosswalknyc.com,https://www.crosswalknyc.com/search?q={query},https://www.crosswalknyc.com/privacy-policy-1,US,form,"name, email",Data broker registered in US state registries,,,
Crunchbase,crunchbase.com,https://www.crunchbase.com/search?q={query},https://crunchbase.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
CTAM LEADSHARE CORP,smartmove.us,https://www.smartmove.us/search?q={query},https://www.smartmove.us/company/privacy,US,form,"name, email",Data broker registered in US state registries,,,
Cuebiq,cuebiq.com,https://www.cuebiq.com/search?q={query},https://www.cuebiq.com/privacypolicy/,US,form,"name, email",Data broker registered in US state registries,,,
CUSTOMER ASSET CONSULTING GROUP Inc,datadelivers.com,https://www.datadelivers.com/search?q={query},https://datadelivers.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Customer Communications Group, Inc.",customer.com,https://www.customer.com/search?q={query},https://customer.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
Cybba Inc.,cybba.com,https://www.cybba.com/search?q={query},https://www.cybba.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Cyndx Networks LLC,cyndx.com,https://www.cyndx.com/search?q={query},https://www.cyndx.com/privacy/,US,form,"name, email",Data broker registered in US state registries,,,
DATA AXLE Inc,donorbase.com,https://www.donorbase.com/search?q={query},https://www.donorbase.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
Data Decisions Group,datadecisionsgroup.com,https://www.datadecisionsgroup.com/search?q={query},https://www.datadecisionsgroup.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Data Driven Safety, LLC",verisk.com,https://www.verisk.com/search?q={query},https://www.verisk.com/privacy-policies/,US,form,"name, email",Data broker registered in US state registries,,,
Data Exchange,ro.iq,https://www.ro.iq/search?q={query},https://www.dealerx.com/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Data Facts, Inc",datafacts.com,https://www.datafacts.com/search?q={query},https://www.datafacts.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Data Management LLC,data-management.com,https://www.data-management.com/search?q={query},https://www.data-management.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
"Data Marketing Solutions, Inc.",businesswatchnetwork.com,https://www.businesswatchnetwork.com/search?q={query},https://businesswatchnetwork.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
DATA PARTNERS Inc,datapartners.com,https://www.datapartners.com/search?q={query},https://www.datapartners.com/privacy-policy,US,form,"name, email",Data broker registered in US state registries,,,
Databaseusa,databaseusa.com,https://www.databaseusa.com/search?q={query},https://www.databaseusa.com/index.php/privacy-policy/,US,form,"name, email",Data broker registered in US state registries,,,
"Datadirect Marketing Solutions, Inc.",datadirectmarketing.com,https://www.datadirectmarketing.com/search?q={query},https://datadirectmarketing.com/optout,US,form,"name, email",Data broker registered in US state registries,,,
